Scout Group Name,Region Code,District Code,Scouts District Name,Kits
1st Arlesey,SG,SG15,Biggleswade & District,30
Rothwell Scouts,LS,LS26,South Leeds & Morley,90
1st Wythenshawe,M,M23,Manchester South,80
16th Bolton Scouts,BL,BL1,Bolton Moorland,100
Pocklington Scout Troop,YO,YO42,Pocklington,50
Menstrie Scouts,FK,FK11,Clackmannanshire,105
6th Lewes,BN,BN7,Lewes,60
East Tilbury Scout Group,RM,RM18,Thurrock,60
Chorlton Scout Group,M,M21,Manchester,300
Equalinks,BB,BB1,Blackburn,200
105th Glasgow Scouts,G,G31,South East,60
125th Littleover Scouts,DE,DE23,Derby North,30
1st Goytre,NP,NP4,Monmouthshire,60
1st Beckenham South,BR,BR3,Bromley,30
2nd St Neots,PE,PE19,Hinchingbrooke,30
3rd Cleethorpes,DN,DN32,Grimsby And Cleethorpes,30
30th Walthamstow,E,E17,Waltham Forest,50
1st Trentside Scouts,NG,NG14,Central Notts,30
1st Lindfield,RH,RH16,Mid Sussex,150
1st Brington,PE,PE28,Hinchingbrooke,30
19th Durham Scouts,DH,DH1,Durham City,50
Otley Bridge Church Scouts,LS,LS21,Wharfedale,30
12th Stafford/Mercury Cubs,ST,ST17,Stafford,30
7th Airedale,LS,LS18,Shire Oak,30
18th Wallsend Scouts/Tynemouth Scouts,NE,NE28,Tynemouth,125
Sheerwater Scout Group,GU,GU21,Woking,75
Nafferton Scouts,YO,YO25,Wolds & Coast,30
Blandford Scout Group & The Winterborne Scout Group,DT,DT11,North Dorset,75
1st CSP Scouts,SL,SL9,Misbourne Valley,50
2nd Otley Scouts,LS,LS21,Wharfedale,50
WF11 Harkaway Explorers,DY,DY12,Wyre Forest,75
2nd Ards Scout Group,BT,BT23,Strangford,60
1st Ballygawley,BT,BT70,Tyrone,30
Llanishen and Lisvane Scout Group,CF,CF14,Cardiff North,50
1st Watton at Stone,SG,SG14,Hertford,30
4th Sevenoaks (St. John's) Scouts,TN,TN14,Sevenoaks,75
9th Sevenoaks (Seal) Scouts,TN,TN15,Sevenoaks,50
1st Malmesbury (King Athelstan) Scout Group,SN,SN16,Wiltshire North,100
Unmentionables ESU,GL,GL4,Gloucester,30
Rowallan,RH,RH15,Mid Sussex,50
1st North Worle,BS,BS22,Axe,50
2nd Exeter Scouts,EX,EX1,Exeter,100
