Badge Name,Category,Type,Description,Completion Rules,Requirements
Animal Carer,Activity Badges,Activity,"From the neighbourhood cat to the creepy crawlies at the bottom of the garden, let’s learn how to look after the creatures we share our planet with.",1 from  + 2 from ," (complete 1):
1. Help to care for a farm animal for at least two months. Know the correct foods to give it and be able to recognise common illnesses. Learn what special care you need to give before and after the birth of farm animals.
2. Take care of an animal for at least two months. Give it the correct foods, and learn to recognise common traits and habits including how to groom, clean and exercise the animal.

 (complete 2):
1. Find out about dangers that threaten wildlife in their natural habitat. Make a poster, collage or drawing or tell other Cub Scouts what you found out.
2. Learn and understand what you need to do and be aware of when deciding to own a pet.
3. Visit a zoo, wildlife park, animal sanctuary or rescue centre. Find out about some of the animals you see. What are their feeding habits and natural habitats?
4. Keep a record of bird, animal or insect life in your garden, local area or park. Keep pictures, sketches, photographs or audio recordings. Do this for at least three months.
5. oin an animal, bird or wildlife society. Either take part in one of its activities or make progress in any award scheme it offers."
Artist,Activity Badges,Activity,"Grab a paintbrush, build a masterpiece out of clay, or get behind the camera. It’s time to let your imagination run wild.",Complete 3 of 10 requirements,"Complete 3 of the following:
1. Visit an art gallery
2. Design and build a model
3. Draw or paint a picture of still life or a landscape
4. Imagine an event, character or scene. Now draw it using a pencil, brush, pen or crayon
5. Design and make a greetings card
6. Make a model out of clay
7. Make a display of photographs on a subject that interests you
8. Make a poster advertising Scouting or a Cub Scout event
9. Design and make a decorated book cover
10. Make a video on a subject that interests you"
Athletics,Activity Badges,Activity,"Run! Jump! Throw! Whichever sport you decide to have a go at, this badge is about trying your best and improving as you practice.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Take part in a proper warm-up and cool down routine, using all the main muscle groups.
2. Explain the best clothes to wear for athletics and how to be safe.
3. Take part in a throwing activity
4. Take part in two running activities
5. Take part in a team activity
6. Do a jumping activity and go as far or as high as you can go"
Athletics Plus,Activity Badges,Activity,Already earned your Athletics badge? Ready for the next step? This badge will help you refine your technique and soar to new heights.,Complete 6 of 9 requirements,"Complete 6 of the following:
1. 50m sprint
2. Throwing a cricket ball
3. High jump
4. Long jump
5. Sargent jump
6. Shuttle run 6 x 10m
7. 50m skip with a rope
8. 1,000m run
9. 4 x 100m relay race"
Backwoods Cooking,Activity Badges,Activity,"You don’t necessarily need to use pots and pans to cook something delicious. Make the most of your surroundings, and enjoy a delicious meal in the great outdoors.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Show how to light a fire
2. Help someone prepare a fire for cooking on
3. Cook something using a billy can
4. Cook something in the embers of a fire
5. Cook something on a stick
6. Show how to make the fire safe when you have finished with it. Extinguish the fire and make the area safe"
Book Reader ,Activity Badges,Activity,"Books are like portals to another world, allowing us to walk in another person’s shoes for a while and see how they fit. Get lost in the pages, and see where you end up.",Complete ALL 5 requirements,"Complete ALL of the following:
1. Make a list of at least six books you have read or used recently.
2. Name the authors of your books.
3. Show that you know how to care for your books and know the benefits a library can bring to people who enjoy reading.
4. Show that you can use a dictionary and a thesaurus.
5. Write a review of your favourite book and share it with your Sixer, an Explorer Scout Young Leader or your Cub Leader"
Chef,Activity Badges,Activity,"Being able to prepare a meal for yourself and others is one of life's most rewarding skills. Wash your hands, put on your apron, and get ready to cook up a storm.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Learn the basic rules of safety and hygiene in the kitchen.
2. Talk to your leader about the different ways of preparing and cooking food
3. Learn what the major food groups are
4. Plan, cook, serve and clear away a two-course meal for at least two people."
Collector,Activity Badges,Activity,"Our belongings tell stories, and even the most ordinary looking objects can teach us a great deal about the people who owned them and how they lived. Build up a collection of things that interest you, and share them with your friends.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Over three months, build up a collection of similar items
2. Display your collection in an exciting and interesting way
3. Talk about items in your collection
4. View a collection made by someone else"
Communicator,Activity Badges,Activity,"Whether you’re decoding a secret message, learning sign language or playing a game of Chinese whispers, this badge is all about getting your message across effectively.",Complete ALL 4 mandatory + 3 of 9 optional,"MANDATORY (all required):
1. Get someone to give you directions or instructions to do something.
2. Get someone you know to give you a call.
3. Show you can send emails and text messages.
4. Introduce yourself to an adult who helps out with your Pack

PLUS 3 of the following:
1. Write three simple messages using codes, ciphers, invisible ink or semaphore
2. Report on a local event, either past or present.
3. Find out how people with a visual or hearing impairment communicate
4. Hold a simple conversation in another language
5. Pass a message to someone using amateur radio
6. Take part in Jamboree On The Air (JOTA) or Jamboree On The Internet (JOTI)
7. Make contact with another Pack
8. Tell a story about an experience you’ve shared with your leaders  and other Cubs
9. Get an adult or Young Leader to give you a message"
Cyclist,Activity Badges,Activity,"With the wind in your hair and feet in your shoes, you can steer yourself in any direction you choose. Helmets at the ready!",Complete ALL 5 mandatory + 1 of 2 optional,"MANDATORY (all required):
1. Regularly use a bicycle, which is the right size for you, with a cycle helmet.
2. Show you can clean and oil a bicycle. Show how to pump up the tyres and mend a puncture.
3. Explain why you must lock up a bicycle when you leave it unattended.
4. Make a poster to promote road safety to pedestrians or cyclists.
5. Talk to your leader or other Cubs about the safety measures you need to take when you cycle in bad weather

PLUS 1 of the following:
1. Road safety
2. Off-road safety"
