Badge Name,Category,Type,Description,Completion Rules,Requirements
Activity Centre Service,Activity Badges,Activity,Giving your time goes along way. Join us in making sure our activity centers continue to inspire.,Complete ALL 2 mandatory + 1 of 8 optional,"MANDATORY (all required):
1. Work for at least five days (on at least two different occasions) at a  Group, District, County, Area or National Scout Activity Centre or campsite, helping the warden or manager however they need you.
2. Explain the maintenance needed for essential campsite equipment

PLUS 1 of the following:
1. Make a booking for someone wanting to use the site
2. Show how to restore a camping area after use, including sowing grass
3. Show how you prevent pipes freezing during the winter and what steps to take when pipes burst
4. The importance of having clean toilets
5. Chemicals – what to use and how to use them safely
6. How to unblock a drain and prevent further blockages
7. The need for good site drainage and keeping ditches clear
8. How to dispose of refuse and use an effective recycling system"
Athletics,Activity Badges,Activity,"All Olympic athletes started somewhere, how far will you go?",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Run through an appropriate warm-up routine that involves gentle stretching and loosening exercises, using all the main muscle groups.
2. 2. Discuss the safety rules for athletics, particularly the throwing and jumping events.
3. 3. Demonstrate an athletic discipline to other Explorers and encourage them to try it out.
4. 4. Take part in at least two competitions or demonstrations."
Camper,Activity Badges,Activity,"A night sleeping under the stars? Nothing better, but we Scouts know it takes time, readiness and know-how to get it right",1 from Camp + 4 from Demonstrate + 14 from Camp Leader,"Camp (complete 1):
1. Camp under canvas for a total of 20 nights or more.

Demonstrate (complete 4):
1. Are, simple repair and storage of your tent and cordage, including whipping, splicing, hanking, coiling and safety inspections.
2. Safe storage and handling of fuels such as methylated spirits, paraffin, petrol and gas.
3. Care of cooking stoves and utensils, including simple repairs, cleaning and general maintenance.
4. Storage of a section’s training and games equipment.

Camp Leader (complete 14):
1. discuss all aspects of the camp with an adult leader
2. manage the budget for the camp
3. choose the campsite, carrying out a risk assessment of the camp and activities
4. make sure all necessary equipment is organised
5. plan a menu and organise the shopping.
6. organise the pitching of the campsite
7. make sure that camp hygiene standards are met
8. make sure that all equipment is stored correctly
9. build a pioneering project, for example a flagpole or a gateway
10. demonstrate safe knife and axe use
11. plan a cooking and cleaning rota and cook at least one of the meals yourself
12. organise the striking of camp and make sure the site is left as you would wish to find it.
13. make sure that all equipment is stored correctly
14. evaluate how the camp went by discussing it with the other participants."
Caving,Activity Badges,Activity,"You're underground with just your torch to guide you, traversing through this ancient paradise. There's nothing quite like caving.",Complete ALL 6 requirements,"Complete ALL of the following:
1. Make at least four trips underground, with a properly authorised party, to two different cave systems and kept a log. If you hold the Scout Caver Activity Badge you don’t need to complete these four trips.
2. Explain how caves are formed.
3. Rig and use ladder pitch under supervision.
4. Take two additional caving trips as part of a properly authorised party.
5. Know the cave conservation code and talk about measures that can be taken to promote conservation of formations and the cave environment.
6. Study an aspect of speleology and discuss the findings."
Climber,Activity Badges,Activity,"Supported by a friend, chalk covered fingers, your foot reaches the ridge. This is how you climb to the top.",Complete ALL 7 requirements,"Complete ALL of the following:
1. 1. Complete at least four different climbs, each of which should be listed  in a climbing guidebook.
2. 2. Know how to put on a harness and helmet, and the calls used in climbing.
3. 3. Understand and demonstrate the proper use of a belay device.
4. 4. Experience at least one session (two hours) of single-pitch climbing on a man-made climbing wall, either indoors or outdoors.
5. 5. Be able to use information given in a climbing guidebook. Explain the grading systems for climbs.
6. 7. Abseil down a face of not less than 15 metres using a safety rope.
7. 8. Demonstrate how to care for the equipment used and explain what you should look out for when equipment is nearing the end of its life."
Creative,Activity Badges,Activity,"Sing. Paint. Make. Whatever you create, let your imagination lead the way",Complete ALL 2 requirements,"Complete ALL of the following:
1. 1. Demonstrate involvement and improvement in a creative activity of your choice. Show evidence of your work.
2. Perform or exhibit the work you have completed"
Fundraising,Activity Badges,Activity,Embody the spirit of Scouts and learn how to make an impact through fundraising.,Complete ALL 6 requirements,"Complete ALL of the following:
1. 1. Identify and organise a fundraising initiative for either another UK registered charity of your choice or the Scout Association, to help promote and grow your local Scout group, Scouting nationally or both.
2. 2. Find a compelling  message – a short reason you can communicate to potential donors about your chosen cause. It must be inspiring and clear in order to raise the most money.
3. 3. Use social media to promote your fundraising initiative.
4. 4. Set a fundraising target and a date to raise it by. We suggest a minimum of £500.
5. 5. Call on others to help you and form a fundraising team. Motivate and inspire them to encourage others to donate.
6. 6. Prepare a short presentation about your fundraising challenge and submit it to the members of your local Trustee Board or your leader"
Global Issues,Activity Badges,Activity,"The Scouts are proud to support the Global Goals. Join us, and take an active role in making our world a better, more sustainable environment.",Complete 3 of 5 requirements,"Complete 3 of the following:
1. Spend three days living on food that costs no more than £2 a day. Share with others about how it went including a top tip for cooking meals with so little money. This could be a discussion, blog, video diary.
2. Individually or as a group compare youth issues in the UK with the same issues in another country, such as voting age, access to education or youth services. Discuss with your Unit.
3. Visit a homeless shelter, food bank or other social enterprise in your local community and consider the challenges faced by homeless people and what factors lead to homelessness.
4. Explore various media sources to find information about migration and immigration. Review what you find and discuss your thoughts and feelings about the information and how this issue is perceived at a local and global level with your Unit.
5. Deliver a game or activity to others about a global issue that you feel passionate about and explore what small action you could take to have a positive impact on that issue (sign a petition, write to your MP, raise awareness)."
Hill Walker,Activity Badges,Activity,"From Ben Nevis and Snowdon, to Scafell Pike. Get a head-start on the highest peaks in the UK.",Complete ALL 3 requirements,"Complete ALL of the following:
1. Hold the Scout section Hill Walker Activity Badge or have completed at least five one-day journeys in the hills, each one at least 14 kilometres’ distance.
2. Take a major part in planning and successfully managing at least four one-day journeys, two of which must be in terrain two areas.
3. Play a major part in the planning, preparation and leadership of at least one two-day expedition, involving overnight camping in wild country"
Instructor,Activity Badges,Activity,"What's next? Share your knowledge, teach others, and inspire the next generation.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Hold the activity badge in your chosen activity
2. 2. Know what a young person in your section has to do to achieve the activity badge, so that you can instruct them in that subject.
3. 3. Attend a training course covering the technical skills involved in the activity badge and the use of appropriate training methods.
4. 4. Assist with the training of other young people in your section in the subject, over a period of at least three months."
