Badge Name,Category,Type,Description,Completion Rules,Requirements
Activity Centre Service,Activity Badges,Activity,"Scout Activity Centres thrive on team work, friendship and outdoor adventure. Develop your campsite management skills and help the centres continue to inspire.",3 from Core Requirements + 4 from Activity Centre Skills,"Core Requirements (complete 3):
1. Help the warden or manager and work for at least five days at a  permanent District, County or National Scout campsite.
2. Explain and show how to use three items of equipment that you've used in your work with the activity centre.
3. Talk about developments and improvements you would like to see at a permanent campsite.

Activity Centre Skills (complete 4):
1. Explain & demonstrate the use of computers in campsite management
2. Explain & demonstrate how to take care of campers' needs while respecting wildlife
3. Explain & demonstrate how to prevent frozen pipes and what to do if an overground pipe bursts or leaks
4. Explain & demonstrate the need for good site drainage and clear ditches
5. Explain & demonstrate rubbish disposal and how to recycle materials wherever possible
6. Explain the reasons for having clean toilets
7. Explain & demonstrate how to unblock a drain
8. Explain & demonstrate how to use and maintain equipment for an activity you have become familiar with
9. Explain other important tasks that the warden or manager has pointed out"
Air or Sea Navigation Activity Badge,Activity Badges,Activity,Be the one who knows the way to go – at sea or by air. Learn a skill that would help you navigate your crew on your journey.,Choose 1 of 2 options,"Choose 1 of the following options:

Air Navigation:
1. Using simple diagrams, illustrate latitude and longitude.
2. Using a compass, show how an aircraft can be turned on to various compass headings.
3. Show that you understand how a compass works, including the difference between magnetic, true and grid north.
4. Explain what magnetic deviation is and how it applies to air navigation.
5. Show that you know about the latest developments in electronic navigation aids.
6. Headings and corresponding tracks.
7. Topographical air map
8. Draw the track between any two places at least 100 nautical miles apart.
9. Show that you can calculate overhead flight times

Sea Navigaton:
1. Gain a good working knowledge of charts, chart datum and symbols used.
2. Complete two positioning tasks
3. Show your skills in compass work by completing three tasks
4. Learn how to use tide tables and tidal stream atlases.
5. Learn how to use the marine log to obtain distance run and speed.
6. Show you understand the buoyage system for United Kingdom coastal waters and other methods of marking dangers and channels.
7. Show that you’re aware of the latest developments in electronic technology, like the Global Positioning System and electronic charts.
8. Go on a coastal voyage of between four and six hours and act as the navigator."
Air Researcher ,Activity Badges,Activity,Discover one of man’s greatest accomplishments – developing the technology to fly through the air.,Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Research one historical aspect of flight, and share what you find out with the Troop.
2. 2. While you’re doing your research, visit at least one place of interest that relates to your chosen subject.
3. 3. Present what you have found out."
Air Spotter,Activity Badges,Activity,"Take up your binoculars, observe the skies, and learn to recognise an Airbus from a Boeing",1 from  + 1 from  + 1 from Category A + 1 from Category B," (complete 1):
1. Learn to recognise 38 out of the 50 aircraft listed in The Scout Association's Aircraft Recognition List

 (complete 1):
1. Describe the main features you would use to recognise six aircraft, which have been chosen by an appropriate adult.

Category A (complete 1):
1. By yourself or with another Scout, take photographs or collect pictures of at least 10 different aircraft types.
2. Visit an airfield or airport viewing area, for at least an hour.

Category B (complete 1):
1. Recognise and name the national aircraft markings, both service and civil, of at least six countries including the United Kingdom.
2. Learn the RAF and NATO system of letter designation according to aircraft function.
3. Name three basic training aircraft used in private flying."
Angler,Activity Badges,Activity,"Develop your angling acumen, the sense of pride from reeling in a big catch to the enjoyment from being outside and close to the water’s edge. This badge is endorsed by The Angling Trust.",Complete ALL 9 requirements,"Complete ALL of the following:
1. 1. Learn the water safety rules and the proper precautions to take when fishing from the bank, shore line, or from a boat.
2. 2. Understand how the Countryside code should be followed by anglers, and where and how to fish legally.
3. 3. Explain how different species of fish have different habitats.
4. 4. Learn about invasive species and make sure to check, clean, and dry your equipment to stop them spreading.
5. 5. Learn the basic hygiene precautions to take when fishing.
6. 6. Go fishing at least four times in two different places.
7. 7. Choose the correct equipment and method for where you plan to fish.
8. 8. Show you can cast correctly and accurately into a target area a suitable distance away, depending on the equipment you are using.
9. 9. Show how to correctly handle a fish, unhook it and return it into the water."
Artist,Activity Badges,Activity,Express yourself! Stretch your imagination and discover the artist within you.,3 from Group 1 + 1 from Group 2 + 4 from Group 3 (Required),"Group 1 (complete 3):
1. Paint, draw or illustrate a scene from a story
2. Paint, draw or illustrate a person or object
3. Paint, draw or illustrate a landscape

Group 2 (complete 1):
1. Show a selection of your own recent work.

Group 3 (Required) (complete 4):
1. Choose a favourite art form or artist to take an active interest in.
2. Describe two visits you have made that are connected to your interest.
3. Show that you know a lot about an aspect of your interest.
4. Make a list of major events, exhibitions or venues connected with your chosen subject."
Athletics,Activity Badges,Activity,"Wipe the sweat from your brow, as you close in your personal best. Athletics is all about practising, persevering and improving – perfect for a Scout like you.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Run through an appropriate warm-up and warm-down routine using all the main muscle groups. Explain why both routines are important.
2. Talk about the safety rules in athletics, particularly throwing and jumping events.
3. Take part in six athletics events.
4. 4. Find out and explain to your leader how to take part in athletics in your local area."
Athletics Plus,Activity Badges,Activity,Go the extra distance with the Athletics Plus badge and reach new heights.,Complete ALL 3 requirements,"Complete ALL of the following:
1. 1. Run through an appropriate warm-up and cool-down routine using all the main muscle groups. Explain why both routines are important.
2. 2. Talk about the safety rules for athletics, particularly throwing and jumping events.
3. 3. Compete in any three events (two track and one field, or vice versa) and gain the points set out as indicated on the score chart below."
Camper,Activity Badges,Activity,Get Up and have fun in the great outdoors. Forge new skills as you camp under canvas for at least 15 nights.,Complete ALL 9 requirements,"Complete ALL of the following:
1. 1. Camp as a Scout for at least 15 nights
2. 2. Lead a group of Scouts in the pitching, striking and packing of a four to six-person tent.
3. 3. Find out what to look for when choosing a campsite and in deciding the best position to pitch tents.
4. 4. Show that you understand and act on the reasons for hygiene and the importance of being safe and tidy in camp.
5. 5. Show how you store food hygienically at camp.
6. 6. Learn how to dispose of your rubbish safely and responsibly.
7. 7. Construct two useful camp gadgets.
8. 8. Plan a full menu for a weekend camp. Cook a least one full meal over an open fire.
9. 9. With others in your Troop, plan and carry out a programme of activities for a weekend camp."
Caver,Activity Badges,Activity,"From stalactites to stalagmites, experience a different world underground and explore fascinating cave formations",Complete requirements,"1. Take part in at least four trips to at least two different cave systems.
2. Keep a record of your trips and the routes you followed
3. Develop a good knowledge of the caving and cave conservation codes"
