Badge Name,Category,Type,Description,Completion Rules,Requirements
Be Active,Activity Badges,Activity,"Bodies can do great things. Explore new ways to move, learn fun new games, and help your friends do their best.",Complete ALL 3 requirements,"Complete ALL of the following:
1. There are lots of different ways to be active. Explore the different ways that you can move your body and see how they feel.
2. Playing games is lots of fun. Learn to play a new game using different equipment.
3. Games are even more fun when you play with your friends. Do your best to help your friends play a game."
Brilliant Builder,Activity Badges,Activity,People (and animals) can build all sorts of amazing things of different shapes and sizes. Now it’s your turn to create something exciting. Your imagination’s the limit.,Complete ALL 3 requirements,"Complete ALL of the following:
1. Buildings, statues, and bridges can be made of lots of different materials. Can you create something strong that can hold something heav
2. People live in all sorts of different buildings – they were all designed by people called architects and built by people called builders. Choose a toy or teddy, design a home for them to live in, then build it.
3. Some of the best builders are animals, who create their own places to live. Work as a team to build a big den that you can all sit in and do an activity."
Exciting Experiments,Activity Badges,Activity,Scientists learn how the world works by asking big questions and giving things a go. Now it’s your turn to try some experiments and see what you can discover.,Complete ALL 3 requirements,"Complete ALL of the following:
1. We find out about the world around us using our senses. Try some activities to explore all of your different senses. What can you see, hear, smell, taste, and feel?
2. Scientists think about how things might work and do experiments to find out if they’re right. Get stuck in and try some experiments together. What do you think will happen?
3. Being a scientist is all about sharing what you’ve learned. Tell a friend about your experiments and what you found out."
Explore Outdoors,Activity Badges,Activity,"The world is full of exciting things for you to discover. Work together to get ready, go on an adventure, and share what you find. Who knows where you’ll end up?",Complete ALL 3 requirements,"Complete ALL of the following:
1. Every great adventure starts with a great plan. Work together to think about some different places you could visit, what you should wear, and what you’ll need to take with you.
2. It’s time to get outside! Explore some different environments, use a compass to see which direction you’re going, and keep track of all the interesting things you see and hear.
3. The fun doesn’t have to stop when you get home. Tell a friend about your adventure and think about how you could make your next trip even better."
Feel Good,Activity Badges,Activity,We look after our bodies by doing things like brushing our teeth and eating different foods. Have you ever thought about how we look after our minds? Get stuck in and learn about three ways to take care of yourself and your brain.,Complete ALL 3 requirements,"Complete ALL of the following:
1. Doing things that you enjoy can help boost your mood. What makes you feel good? Try some activities that give you that winning feeling or do something that helps you relax.
2. We’re often really busy having fun, but taking notice of how you’re feeling is a great skill to practise. Take a minute or two to check in with your feelings and remember what makes you feel happy.
3. We know that connecting with other people can help us to feel good. Create a comfy space to spend some time with your friends at Squirrels."
Get Creative,Activity Badges,Activity,Draw. Sing. Move. Build. Create. There are lots of different ways to let your imagination go wild. What will you try first?,Complete ALL 3 requirements,"Complete ALL of the following:
1. Use your imagination to make a picture or model of something you love. It could be anything from a flying monkey to a dinosaur in the bath
2. Singing songs and doing the actions gives us the chance to use our imagination and have fun. Help another Squirrel learn a song with actions.
3. The natural world has inspired lots of creative designs, from trains shaped like birds to glass inspired by spiders’ webs. Work with another Squirrel to create something using natural materials."
Go Wild,Activity Badges,Activity,"Wild animals make the world a better place. Learn about animals that live nearby and far away, then work together to help them.",Complete ALL 3 requirements,"Complete ALL of the following:
1. Animals live all around us, from tiny insects to big, strong deer. Find out about some animals that live near you and see what you can learn about some animals that live far away.
2. Lots of animals use plants for food and shelter, including hungry caterpillars that munch on leaves and birds that nest in trees. Find out about what animals in your local area like to eat and where they like to live.
3. Animals sometimes need our help to stay safe and healthy – especially if people have damaged the places that they live. Work together to make something that helps plants or animals."
Let It Grow,Activity Badges,Activity,Plants are all around us (and we eat them every day) – but do you know how they grow?,Complete ALL 3 requirements,"Complete ALL of the following:
1. There are lots of different plants – you may have seen prickly cacti, tall trees, or brightly coloured flowers. Some plants even eat bugs! Have a go at growing a plant of your own.
2. Plants change a lot as they grow. Look after your plant, give it water and sunlight, and watch what happens; it might grow taller, change colour or make flowers or fruit. Tell some other Squirrels what happened to your plant and how it changed.
3. Fruit and vegetables come in different shapes, sizes, and colours and grow in lots of different ways. Find out where some of the fruit and vegetables you eat come from and how they’re grown. Do the plants look different to the foods on your plate?"
Let’s Celebrate,Activity Badges,Activity,"People all around the world celebrate things that are important to them with stories, songs, skills, and snacks. Now it’s your turn to get stuck in.",Complete ALL 3 requirements,"Complete ALL of the following:
1. People celebrate in lots of different ways, like singing, dancing, and playing games. What do you like doing when you’re happy? Sing a song, do a dance, or play a game from a different culture.
2. Lots of festivals are based on stories or legends. Find out about some new festivals or celebrations by reading or listening to a story together.
3. Now it’s your turn to party – take part in a festival or celebration from a different culture with the other Squirrels. Get creative, make something to help you celebrate, and try some different festive foods."
Local Superhero,Activity Badges,Activity,"Superheroes don’t just exist in books, comics, and films. Real-life superheroes are all around us, doing great things to help people every day.",Complete ALL 3 requirements,"Complete ALL of the following:
1. There are lots of local superheroes doing great things near where you live. Find out who they are and what they do to help.
2. Anyone can be a superhero if they use their skills to make the world a better place. Design your superhero costume, choose your powers, and think about how you’ll use your powers to help other people.
3. Now it’s time to put your superpowers to good use. Work with your group to make a difference in your local area."
Space Explorer,Activity Badges,Activity,Fly a rocket into the stars like an astronaut and discover things about different planets and our moon.,Complete ALL 3 requirements,"Complete ALL of the following:
1. We live on a planet called Earth. Work together to find out more about what planets are.
2. Have you ever spotted the moon in the sky? Explore what the moon looks like and how it changes over time.
3. Lots of brave explorers (called astronauts) have travelled to space. Try some activities to discover what their journeys are like. What would you like to know about astronauts?"
Story Time,Activity Badges,Activity,Let your imagination run wild as you get lost in a story and see where it takes you.,Complete ALL 3 requirements,"Complete ALL of the following:
1. When we hear stories, we can imagine going to different places and getting involved in lots of adventures. Choose a story to listen to with your friends and talk about it afterwards.
2. Stories can be about almost anything: people, animals, or magical creatures. What sort of stories do you like the most? Tell someone about your favourite story.
3. Anyone can be a storyteller. Now it’s your turn to be in charge! Make up your own story and tell someone about it."
Super Chef,Activity Badges,Activity,What’s your favourite thing to eat? Learn more about food then put on your apron and cook up a storm.,Complete ALL 3 requirements,"Complete ALL of the following:
1. The food we eat comes from lots of different places all over the world. Some grows underground, some grows on bushes or trees, and some comes from animals. Think about the foods you eat and explore where some of them come from.
2. We can use all of our senses to find out about food. It can be sweet, salty, crunchy, soft, or even brightly coloured. Are there any new foods you’d like to try? Explore some new foods with your friends.
3. Having fun while cooking isn’t just for grown ups. Wash your hands, follow a recipe, and make a tasty snack with your friends."
All About Adventure,Challenge Awards,Challenge Award,Go on a scavenger hunt. Gaze up at the stars. Enjoy your first campfire. Pack your bag and try something new as you go on an adventure in the great outdoors.,Complete ALL 4 requirements,"Complete ALL of the following:
1. Adventures are more fun when you’re prepared. Choose your activities, think about what you’ll need, and pack your bag – just don’t forget the snacks!
2. Having fun outside is good for your mind and your body. Take part in some outdoor activities and try something new.
3. Take a deep breath and go for it. It’s time to go on some adventures.
4. No adventure is complete without a campfire. Gather around a roaring fire (or a fire-free indoor model), spend some time with your friends, and reflect on your adventures."
All About Me,Challenge Awards,Challenge Award,"There’s no one else who’s exactly like you. Think about what makes you unique, learn about the people around you, and set yourself a challenge",Complete ALL 4 requirements,"Complete ALL of the following:
1. We all have different interests and talents: what are yours? Create something that shows who you are, where you live, and what you like to do.
2. Helping other people is a kind thing to do. Think about the people who are there to help us when we need it, then choose some helpful things that you could do for others. Talk to a leader about a kind thing you’d like to try and give it a go.
3. When we learn to do new things (by ourselves and with others) we become more independent and feel more confident. Choose something you can do independently to take care of yourself, talk to an adult about what you want to learn, then try it out.
4. Setting yourself a challenge can help you learn things and build skills. Think of a challenge you’d like to try, decide how long you want to do it for, and get stuck in."
All Around Us,Challenge Awards,Challenge Award,"Learn about where you live, meet some new people, and discover more about your community. It’s time to find your place in the world",Complete ALL 4 requirements,"Complete ALL of the following:
1. You don’t have to go very far to learn something new. Start local and explore where you live. Find out about the places in your community, what they’re for, and who might go there.
2. Being a Squirrel Scout is all about doing your best and being kind and helpful. Think of some ways you could help other people or your local community and give some of them a go.
3. Did you know that you’re part of a bigger Scout family? Learn about the different sections in your group or talk to another group somewhere else in the UK.
4. There are groups of Scouts all over the world. Find out some facts about another country and take part in an international activity."
All Together,Challenge Awards,Challenge Award,"We can do so much more with great friends. Work together to play games, make choices, and learn to be the best friend you can be.",Complete ALL 4 requirements,"Complete ALL of the following:
1. Games are much more fun with friends. Play some team games with your friends at Squirrels and work together to have fun.
2. You can do almost anything with help from good friends. Work with others to be a great team member – remember to take turns, share things, help each other, and follow instructions.
3. The things we decide to do affect other people too. Make a choice for yourself and your team – remember to think about what other people might want and how they might feel.
4. Everyone needs a little help sometimes. Help your leader to show someone new what Squirrel Scouts is all about."
Chief Scout’s Acorn Award,Challenge Awards,Top Award,"This is the highest award a Squirrel Scout can earn. It shows that you’ve had adventures, helped your friends, and learned new things – it’s a big achievement, and you should be proud!",Complete 4 prerequisite badges + 2 activity badges,"PREREQUISITE BADGES (all required):
1. All About Adventure
2. All About Me
3. All Around Us
4. All Together

PLUS 2 Activity or Staged Activity Badges of your choice"
Earth Tribe Award - Squirrels,Core Badges,Earth Tribe,,Choose 1 of 3 options,"Choose 1 of the following options:

Champions for Nature:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Go Solar:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world

Tide Turners:
1. Identify the need
2. Plan action
3. Take action
4. Learn and make more change
5. Tell the world"
Membership Badge - Squirrels,Core Badges,Activity,"Once you've made your Promise, you'll earn your Membership Award, featuring an image of the fleur de lis. This is the international Scout symbol, worn by Scouts all over the world.",Complete ALL 4 requirements,"Complete ALL of the following:
1. 1. Go to Squirrels, get to know the leaders and the other young people, and find out what you’ll get up to.
2. 2. Discover the different badges you can earn and find out what happens at your Investiture (a special celebration that happens when you make your Promise).
3. 3. Learn your Promise and when you’re ready, get invested.
4. 4. Find out about the history of Scouts and the worldwide Scout family."
Moving On,Core Badges,Moving On,"Between the ages of 5½ and 6½, it’s usually time for Squirrels to become Beavers. Complete this award to get to know your new leaders, make new friends and get a taste of what Beavers is really like before the big move.",Manually awarded,No formal requirements - awarded by leader discretion
The YouShape Award - Central Badge,Core Badges,YouShape,"The Central badge is all about thinking about what you want to achieve, exploring ideas, finding a theme and making it happen.  ",Complete ALL 1 requirements,"Complete ALL of the following:
1. Each young person should choose one thing they’d like to learn more about, do or explore in Squirrels. They should then talk with a parent or carer, Young Leader or your Squirrel volunteers to make it happen."
The YouShape Award - Lead,Core Badges,YouShape,"The Lead badge lets you take the reins. This badge lets you think about supporting others, delivering your Squirrels programme, and stepping up during sessions or Nights Away. Complete at least one of the following requirements.",Complete 1 of 5 requirements,"Complete 1 of the following:
1. Help with an activity during a meeting, supported by a Young Leader or adult volunteer.
2. Lead part of a story.
3. Lead a game.
4. Use materials to explore your Squirrels YouShape Award themes further.
5. Welcome a new Squirrel into your Drey."
