Badge Name,Category,Type,Description,Completion Rules,Requirements
Activity Plus Badge,Activity Badges,Activity,"If you’ve enjoyed completing an Activity Badge, go above and beyond the requirements and set yourself a new challenge on a similar topic",Complete ALL 3 requirements,"Complete ALL of the following:
1. Hold your chosen activity badge
2. gree a target with your leader before going for the Activity Plus badge
3. Show your leader that you have met your target"
Joining in Award 1,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 1 year of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 1-year anniversary."
Joining in Award 10,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 10 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 10-year anniversary."
Joining in Award 11,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 11 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 11-year anniversary."
Joining in Award 12,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 12 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 12-year anniversary."
Joining in Award 2,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 2 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 2-year anniversary."
Joining in Award 3,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 3 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 3-year anniversary."
Joining in Award 4,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 4 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 4-year anniversary."
Joining in Award 5,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 5 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 5-year anniversary."
Joining in Award 6,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 6 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 6-year anniversary."
Joining in Award 7,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 7 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 7-year anniversary."
Joining in Award 8,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 8 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 8-year anniversary."
Joining in Award 9,Core Badges,Joining In,Joining In Awards are automatically awarded to youth members for every year they remain an active member. This badge is calculated based on the member's 'Joined Movement' date and will be completed automatically when they reach the anniversary.,Automatically awarded after 9 years of membership,"Automatically awarded based on member's ""Joined Movement"" date when they reach their 9-year anniversary."
Air Activities - Stage 1,Staged Activity Badges,Staged Activity,,Complete ALL 5 requirements,"Complete ALL of the following:
1. Make an aircraft out of paper and see how well it flies.
2. Identify four different types of aircraft.
3. Describe any aircraft (including fictional) you’d like to fly in and explain why.
4. Talk to someone who's flown in an aircraft.
5. Learn about the different jobs an aircraft can do."
Air Activities - Stage 2,Staged Activity Badges,Staged Activity,,Complete ALL 4 mandatory + 3 of 6 optional,"MANDATORY (all required):
1. Make an aircraft out of recycled materials, then try to make it fly.
2. Learn the different parts of an aeroplane.
3. Understand the four key forces that make a plane fly: lift, thrust, drag and weight.
4. Know the dangers of an airfield.

PLUS 3 of the following:
1. Find out about one kind of aircraft and tell someone else about it.
2. Go plane spotting and identify different aircraft at an airfield, airport or using a tracking app or video.
3. Meet someone who regularly flies an aircraft, such as a pilot, and talk to them about their experiences.
4. Learn how different weather conditions can affect air activities.
5. Use a standard map to locate key aviation landmarks, such as airports or airfields.
6. Use the phonetic alphabet to spell out flight-related terms and phrases."
